Test,Test Type,SegmentName,ComponentTestName,CAT,Student SSID,AlternateSSID,Student Name
(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,Single,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-3-Summer-2015-2016,,39990001,A39990001,StudentA
(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-3-Summer-2015-2016,TRUE,39990001,A39990001,StudentA
(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-3-Summer-2015-2016,,39990002,A39990002,StudentB
(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-MATH-3-Summer-2015-2016,TRUE,39990002,A39990002,StudentB
(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,Single,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-7-Summer-2015-2016,,79990001,A79990001,StudentC
(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-7-Summer-2015-2016,TRUE,79990001,A79990001,StudentC
(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Perf-MATH-7-Summer-2015-2016,,79990002,A79990002,StudentD
(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,(SBAC_PT)SBAC-IRP-Mathematics-7-Summer-2015-2016,TRUE,79990002,A79990002,StudentD
(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,Single,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,(SBAC_PT)IRP-Perf-ELA-11-Summer-2015-2016,,119990001,A119990001,StudentE
(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,Single,(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,(SBAC_PT)SBAC-IRP-CAT-ELA-11-Summer-2015-2016,TRUE,119990001,A119990001,StudentE
